mode,token_id,fills,equity_final_usd,spread_capture_mean_cents,markout_mean_cents
skew_on,3192689304828767159232889612891719105504357313659012189260030438494464480574,12,3.9,1.057,0.26416666666666666
skew_on,31940783580344558651011323787577288681658737625185216525249046282994042503801,0,0.0,,
skew_on,32270411694523539495262303868629477861017829722282576458031815333486368239544,0,0.0,,
skew_on,334114555297655433618918589540388457186530884312703967834539640747792887116,0,0.0,,
skew_on,34554555827438551101000555305203609600029621153428996114009350892614396532498,0,0.0,,
skew_on,34626184950254225208692030156208941308358060420950772251072421141618169142241,0,0.0,,
skew_on,34722410608062854697106861099776685947172185964394483545370684749662285977831,0,0.0,,
skew_on,35052799380906612241653419359721988743807116588205346860506039024527003073301,0,0.0,,
skew_on,35477631289241705233759154026285946627439635224019448868888132647783862821489,0,0.0,,
skew_on,36135303630970774358991758965953725374791089628290212294816140371870983436829,0,0.0,,
skew_on,36584990740430575779853916178487409250519468755041580140068769472851047579138,0,0.0,,
skew_on,36726371220435722462734467218102931225443889493446335046337202920930764439505,0,0.0,,
skew_on,36735483826570976187620023335662873012869089000041058674757539485254698650842,0,0.0,,
skew_on,37064221817179838225957455025143891294172126736355626367799841115771049178138,0,0.0,,
skew_on,37387521248243934601038595503021732211653093656817313284775149072918221081890,0,0.0,,
skew_on,37568497895153900126473020275346461590343182178991703056907093864099955621494,4,-0.53,3.057,-1.9325
skew_on,37865762149093398648661038242767914439965617386554698092670411198573348655442,0,0.0,,
skew_on,38577956202894813911522423295759441226459985692799781876715891336671282746369,0,0.0,,
skew_on,38746974225100760605049476871091018825176822620072388068043468416649080453478,0,0.0,,
skew_on,3990636992955197269726492696316350470613735002003547307529304314694325536205,0,0.0,,
skew_on,40195401263640671665116916114051111593115139897599831021772971493074676316453,0,0.0,,
skew_on,40473977441010332007887229299980126707900816205713676157646215720073415416624,0,0.0,,
skew_on,40689385937970031985272152180777653235879119412231903065658922913468759560353,0,0.0,,
skew_on,41996233866104795222912410391357816274047224985506748724567566680863691247794,0,0.0,,
skew_on,42498579290170525937803365597001189493798686141769429176410526295573824619073,0,0.0,,
skew_on,42714919969933366092853780460994007110779633356080906344513267969458105781543,0,0.0,,
skew_on,43321630833125241017427912676100747595457556487829359498141771278458547970943,0,0.0,,
skew_on,43528414195007977002195624860045129351164807876978747566236159804271175691009,0,0.0,,
skew_on,43922360245019925448014613233325808851342080979414111621138725695702056279772,0,0.0,,
skew_on,44827572479353518081244438746113968420401867280288091969239280589388541478697,0,0.0,,
skew_on,44832847537077444176112662567193459365947575972331908846669131226716096991085,0,0.0,,
skew_on,44914465637297319816681463234953032477919413063019359633128421605039733545953,0,0.0,,
skew_on,45270201343463663182019040935560267543606888663369415494551943549463253748361,0,0.0,,
skew_on,45315272750116791836504013666029583517532908319286234834610455739871173419179,0,0.0,,
skew_on,45484070731786948288366703334552551439356529561722304542938873238430842810537,0,0.0,,
skew_on,45720947308530468765087874228584729250108790729495800420104302263408503667446,0,0.0,,
skew_on,45964579255785797377683957550586864178483226605570771781707245495301503463795,0,0.0,,
skew_on,46392352440640691691403913163796829338832584619874037984805155658143745393622,0,0.0,,
skew_on,46513688439726619424679569921406291296528840849653301924533096246539164542379,0,0.0,,
skew_on,47029152085101973226255505664149277121974669906212969183902148537312535402801,0,0.0,,
skew_on,47055352475798285920984907840917431698812931301054546103955312973973172985230,0,0.0,,
skew_on,47244730167179925912209184370316974343576450762994674891509957643355522766257,0,0.0,,
skew_on,48266425622404486484896353767723266081505997963592758694068789352158715350186,0,0.0,,
skew_on,49090268393791569424317269381401319067383973218195824239464904477008632274751,0,0.0,,
skew_on,49100155288255713531280332748049097097613379788560462245718736090008547142642,0,0.0,,
skew_on,49398778857041521575790735877808893757855458653640702199523137840060237289444,0,0.0,,
skew_on,49871252661742427315226109307954871479267113637891510501334531720454017709951,0,0.0,,
skew_on,50035578024412312502715156279765769139689669299163153792052060268176088979005,0,0.0,,
skew_on,51562348485981978738578641774360357655214251727287979008200732521608017000404,0,0.0,,
skew_on,52866829602762686148321814180381479205857294215946401606562161926057027593442,0,0.0,,
skew_on,52986718774908357330412653486471347449818893503063830313445318937088822580057,0,0.0,,
skew_on,53695778447324103637087569580285444889959041738544438526713792782477913379777,0,0.0,,
skew_on,53718143507722222025482708105484979770434331532873527434664602715154372949986,0,0.0,,
skew_on,53831553061883006530739877284105938919721408776239639687877978808906551086026,0,0.0,,
skew_on,54062452792656591940498333119952225497035882944827198088651910072416401737992,0,0.0,,
skew_on,54120517297787449950767396444302816721060398794472692356305596424687388939708,0,0.0,,
skew_on,54358523772879953655967008109892443609439971228635377578397421137910753080076,4,-25.6,2.33,-1.58
skew_on,54460277680676373996228267658125812501562275581843569321052111776649735828118,4,-7.34,2.347,-1.5975
skew_on,5500958648222024490080262026563017618333773328581609432182941377205770769101,6,-8.15,1.82,-2.286
skew_on,5505010946036330007136366602843685650332532780067992773464881166501235782352,0,0.0,,
skew_on,55628874182306186050631811887515133881663823417535899038376461448048315313936,3,-0.26,0.787,-0.4533333333333333
skew_on,558600218792430158020964384658762756367786275998757133304987611939841005404,0,0.0,,
skew_on,56736811231402173896482039454132656829697330201604223976298122972923334638073,0,0.0,,
skew_on,57002413227093336068053576009694193437492684008190278712481836505686606281551,0,0.0,,
skew_on,57710335019661396083809702507142632741583447048324970106878377505753894082591,0,0.0,,
skew_on,57888796976624304239833082588968327003971913510599957332295153052474023554194,0,0.0,,
skew_on,58154574909590813657096858535882625339077077643653677858955479541043465171526,0,0.0,,
skew_on,58534831224432332845742394199681128700782343287162911891204466367752298448751,0,0.0,,
skew_on,59804740893116830082655722678282357324530422193334657680222344987920273408829,0,0.0,,
skew_on,60482166031720291380868655057144166386114272673178755337360544583400474201659,0,0.0,,
skew_on,62146921459129643983706019071835400268748047142556153578498180948195146798405,0,0.0,,
