category,segment,bucket,n,days,mean_gross_cents,mean_net_cents,train_net_cents,test_net_cents,hit_rate,net_positive_share,thin
politics,strength,0.95-1.01,15853,11,0.1411,-2.2157,-2.1673,-2.3171,0.5865,0.0604,False
politics,spread x strength,0-0.5c x 0.65-0.75,19295,11,0.0298,-1.4465,-1.478,-1.3844,0.5584,0.0205,False
politics,spread x strength,0-0.5c x 0.75-0.85,19099,11,0.0461,-1.3346,-1.3624,-1.2837,0.5855,0.0213,False
politics,spread x strength,0-0.5c x 0.85-0.95,17365,11,0.1197,-1.2191,-1.376,-0.9912,0.6223,0.0377,False
politics,spread x strength,0-0.5c x 0.95-1.01,6323,11,0.1781,-1.2377,-1.3704,-0.7356,0.6758,0.0538,False
politics,spread x strength,0.5-1c x 0.65-0.75,3750,11,0.0248,-1.9619,-1.9691,-1.9518,0.5198,0.0357,False
politics,spread x strength,0.5-1c x 0.75-0.85,3972,11,0.0582,-1.9533,-2.0117,-1.8022,0.577,0.0302,False
politics,spread x strength,0.5-1c x 0.85-0.95,4128,11,0.2132,-1.712,-1.7782,-1.6136,0.5618,0.0344,False
politics,spread x strength,0.5-1c x 0.95-1.01,1751,11,0.1307,-1.7942,-1.8702,-1.6497,0.5484,0.0497,False
politics,spread x strength,1-2c x 0.65-0.75,37776,11,0.0976,-2.3199,-2.2611,-2.3825,0.5393,0.0555,False
politics,spread x strength,1-2c x 0.75-0.85,30654,11,0.0887,-2.2706,-2.237,-2.3132,0.552,0.0418,False
politics,spread x strength,1-2c x 0.85-0.95,36395,11,0.0847,-2.275,-2.2492,-2.2988,0.5492,0.0265,False
politics,spread x strength,1-2c x 0.95-1.01,5242,11,0.194,-2.225,-2.2776,-2.1616,0.5716,0.061,False
politics,spread x strength,2-5c x 0.65-0.75,5467,11,0.239,-3.5102,-3.6809,-3.3454,0.5121,0.1087,False
politics,spread x strength,2-5c x 0.75-0.85,5011,11,0.0563,-3.7476,-3.8158,-3.678,0.4973,0.077,False
politics,spread x strength,2-5c x 0.85-0.95,4968,11,0.1567,-3.7002,-3.7608,-3.6274,0.5161,0.0729,False
politics,spread x strength,2-5c x 0.95-1.01,1997,11,0.1763,-3.827,-3.8405,-3.7902,0.5079,0.0856,False
politics,spread x strength,5-10.1c x 0.65-0.75,610,11,-0.3016,-8.312,-8.9038,-7.8982,0.4595,0.1377,False
politics,spread x strength,5-10.1c x 0.75-0.85,652,11,-0.6762,-8.8614,-7.9155,-9.5428,0.4608,0.115,False
politics,spread x strength,5-10.1c x 0.85-0.95,840,11,-0.7116,-8.8222,-9.1175,-8.5283,0.4672,0.0821,False
politics,spread x strength,5-10.1c x 0.95-1.01,540,11,-0.9028,-8.9853,-8.1999,-9.7093,0.4337,0.0741,False
geopolitics,spread,0-0.5c,62082,11,0.0751,-0.0971,-0.1218,-0.0509,0.6018,0.1193,False
geopolitics,spread,0.5-1c,13601,11,0.1053,-0.5739,-0.5989,-0.5301,0.5528,0.0932,False
geopolitics,spread,1-2c,110067,11,0.0955,-0.9365,-0.9257,-0.9481,0.5478,0.0581,False
geopolitics,spread,2-5c,17443,11,0.1559,-2.2564,-2.333,-2.167,0.5085,0.1115,False
geopolitics,spread,5-10.1c,2642,11,-0.6473,-7.2847,-7.1753,-7.3759,0.4566,0.12,False
geopolitics,price,0.05-0.15,35353,11,-0.0121,-0.8517,-0.8081,-0.917,0.5453,0.0611,False
geopolitics,price,0.15-0.35,41048,11,0.0635,-0.8803,-0.897,-0.8591,0.5646,0.0937,False
geopolitics,price,0.35-0.65,51315,11,0.1518,-0.9144,-0.7463,-1.119,0.5636,0.1044,False
geopolitics,price,0.65-0.85,41434,11,0.1043,-0.8337,-0.8414,-0.8238,0.5504,0.0899,False
geopolitics,price,0.85-0.95,36685,11,0.0905,-0.758,-0.7139,-0.8165,0.5442,0.0612,False
geopolitics,strength,0.65-0.75,66898,11,0.0819,-0.8402,-0.7674,-0.9327,0.5354,0.0844,False
geopolitics,strength,0.75-0.85,59388,11,0.0619,-0.8477,-0.8002,-0.9166,0.5537,0.0785,False
geopolitics,strength,0.85-0.95,63696,11,0.0977,-0.8573,-0.8337,-0.8832,0.5676,0.0766,False
geopolitics,strength,0.95-1.01,15853,11,0.1411,-0.9059,-0.8138,-1.099,0.5865,0.1358,False
geopolitics,spread x strength,0-0.5c x 0.65-0.75,19295,11,0.0298,-0.1498,-0.1478,-0.1538,0.5584,0.0906,False
geopolitics,spread x strength,0-0.5c x 0.75-0.85,19099,11,0.0461,-0.1211,-0.1338,-0.098,0.5855,0.1026,False
geopolitics,spread x strength,0-0.5c x 0.85-0.95,17365,11,0.1197,-0.0503,-0.0828,-0.0031,0.6223,0.1446,False
geopolitics,spread x strength,0-0.5c x 0.95-1.01,6323,11,0.1781,0.0077,-0.1059,0.4376,0.6758,0.188,False
geopolitics,spread x strength,0.5-1c x 0.65-0.75,3750,11,0.0248,-0.6452,-0.6536,-0.6335,0.5198,0.0872,False
geopolitics,spread x strength,0.5-1c x 0.75-0.85,3972,11,0.0582,-0.6219,-0.6521,-0.544,0.577,0.0808,False
geopolitics,spread x strength,0.5-1c x 0.85-0.95,4128,11,0.2132,-0.4752,-0.4992,-0.4394,0.5618,0.095,False
geopolitics,spread x strength,0.5-1c x 0.95-1.01,1751,11,0.1307,-0.5452,-0.576,-0.4868,0.5484,0.1302,False
geopolitics,spread x strength,1-2c x 0.65-0.75,37776,11,0.0976,-0.9287,-0.8906,-0.9693,0.5393,0.0721,False
geopolitics,spread x strength,1-2c x 0.75-0.85,30654,11,0.0887,-0.9458,-0.9749,-0.9088,0.552,0.0584,False
