ts_utc,token_id,stream_bid,rest_bid,stream_ask,rest_ask,bid_diff_ticks,ask_diff_ticks,verdict,stream_age_s,tick
2026-07-31T19:36:39Z,27146956652877944551877724690365745048289675287536243265951843487691050802191,0.001,0.001,0.003,0.003,0.0,0.0,match,0.0,0.001
2026-07-31T19:36:39Z,33216695217861742195941369663873573949679634432452142092545486849801915283392,0.997,0.997,0.999,0.999,0.0,0.0,match,0.0,0.001
2026-07-31T19:36:39Z,87811808813553879856351839381400249517684530928608821949285796387486547133164,0.26,0.26,0.27,0.27,0.0,0.0,match,0.0,0.01
2026-07-31T19:36:39Z,67021091896272569767448640536390270996721281816939226388307772323520174561559,0.73,0.73,0.74,0.74,0.0,0.0,match,0.0,0.01
2026-07-31T19:36:39Z,114032603163145625334492420626131015616960175512177637671182501136180561700711,,,0.001,0.001,,0.0,match,0.0,0.001
2026-07-31T19:36:39Z,5440507028822975682546447861728849405421215504490710402848789902860379611913,0.999,0.999,,,0.0,,match,0.0,0.001
2026-07-31T19:36:39Z,91462602922833180947726112170254390614818952379099373819980544185105814335912,0.01,0.01,0.018,0.018,0.0,0.0,match,0.0,0.001
2026-07-31T19:36:39Z,81721579149417963189765236244745822836753525940504722923358710243774318095792,0.982,0.982,0.99,0.99,0.0,0.0,match,0.0,0.001
2026-07-31T19:36:39Z,25833169055592830552248267144711111137650707446685661578070083522867399973775,,,0.001,0.001,,0.0,match,0.0,0.001
2026-07-31T19:36:39Z,96178289963040200620703848874877712212637809030966664466182363345407337829935,0.999,0.999,,,0.0,,match,0.0,0.001
2026-07-31T19:36:39Z,5823805802875099304203116182652199693089526522530469365767529374822548212673,,,0.001,0.001,,0.0,match,0.0,0.001
2026-07-31T19:36:39Z,44485368873643784531862401772918820589721230664189835980509638753050855169710,0.999,0.999,,,0.0,,match,0.0,0.001
2026-07-31T19:36:39Z,57748138085022719760345772310040703848567377822400132842014290209986511882046,0.021,0.021,0.022,0.022,0.0,0.0,match,0.0,0.001
2026-07-31T19:36:39Z,28239418772633645184924651434956000849078365566842629564562475378531350731731,0.978,0.978,0.979,0.979,0.0,0.0,match,0.0,0.001
