fill_model,gamma,fills,spread_capture_usd,markout_usd,late_drift_usd,rebate_usd,total_usd,inventory_abs_mean_usd
touch,0.0,12026,17071.2506,-40970.5196,-2819.9466,2288.2353,-24430.9803,127.48
touch,0.04,12125,15731.2911,-43191.3824,-8635.9901,2273.0957,-33822.9857,67.45
touch,0.08,12923,15241.3588,-43877.1186,-9837.6164,2413.0519,-36060.3243,45.56
touch,0.16,14354,13943.7948,-45561.8596,-9743.2753,2683.4331,-38677.9071,28.63
touch,0.32,17731,10070.4068,-46108.0529,-12062.1284,3307.0714,-44792.7031,18.19
tape,0.0,15258,27399.0809,-11444.5432,-1696.0316,2993.4909,17251.997,255.49
tape,0.04,18047,26956.3877,-11818.1494,768.1928,3376.0323,19282.4634,122.15
tape,0.08,18686,25830.8113,-13138.3653,-111.2529,3451.0347,16032.2278,79.52
tape,0.16,19221,23695.0328,-12946.341,247.8709,3530.7289,14527.2916,50.51
tape,0.32,21242,19308.8351,-13239.7105,-350.9147,3907.9964,9626.2064,36.18
